,Id,postera_SAScore,postera_minNumSteps
0,ANT-DIA-3c79be55-1,0.08492845,0.0
1,ANT-DIA-3c79be55-2,0.0,0.0
2,ANT-DIA-3c79be55-3,0.15191408,1.0
3,ANT-DIA-3c79be55-4,0.0,0.0
4,ANT-DIA-3c79be55-5,0.07783598,0.0
5,ANT-DIA-b7f58f21-8,0.11378125,1.0
6,ROB-UNI-b2e39629-2,0.17594609,2.0
7,ROB-UNI-b2e39629-3,0.29162663,3.0
8,ROB-UNI-b2e39629-4,0.1807857,2.0
9,ROB-UNI-b2e39629-5,0.3382151,3.0
10,ROB-UNI-b2e39629-6,0.31621146,3.0
11,ROB-UNI-b2e39629-7,0.49496102,5.0
12,ROB-UNI-b2e39629-8,0.55191255,
13,ROB-UNI-b2e39629-9,0.18081884,2.0
14,ROB-UNI-b2e39629-10,0.17935574,2.0
15,ROB-UNI-b2e39629-11,0.08961175,1.0
16,ROB-UNI-b2e39629-12,0.16160247,2.0
17,DAR-DIA-23aa0b97-1,0.0,0.0
18,DAR-DIA-23aa0b97-2,0.0,0.0
19,DAR-DIA-23aa0b97-3,0.0973401,1.0
20,DAR-DIA-23aa0b97-4,0.0,0.0
21,DAR-DIA-23aa0b97-5,0.0,0.0
22,DAR-DIA-23aa0b97-6,0.0,0.0
23,DAR-DIA-23aa0b97-7,0.11289144,1.0
24,DAR-DIA-23aa0b97-8,0.0,0.0
25,DAR-DIA-23aa0b97-9,0.110465825,1.0
26,DAR-DIA-23aa0b97-10,0.08697989,1.0
27,DAR-DIA-23aa0b97-11,0.0,0.0
28,DAR-DIA-23aa0b97-12,0.0,0.0
29,DAR-DIA-23aa0b97-13,0.0,0.0
30,DAR-DIA-23aa0b97-14,0.0,0.0
31,DAR-DIA-23aa0b97-15,0.053385872,0.0
32,DAR-DIA-23aa0b97-16,0.08656338,1.0
33,DAR-DIA-23aa0b97-17,0.0,0.0
34,DAR-DIA-23aa0b97-18,0.1657069,2.0
35,DAR-DIA-23aa0b97-19,0.0,0.0
36,DAR-DIA-23aa0b97-20,0.0,0.0
37,DAR-DIA-03336633-1,0.14988963,1.0
38,DAR-DIA-03336633-2,0.16826843,1.0
39,DAR-DIA-03336633-3,0.14639744,1.0
40,DAR-DIA-03336633-4,0.16109107,1.0
41,DAR-DIA-03336633-5,0.17079721,2.0
42,DAR-DIA-03336633-6,0.14114548,1.0
43,DAR-DIA-03336633-7,0.16472045,1.0
44,DAR-DIA-03336633-8,0.14367096,1.0
45,DAR-DIA-03336633-9,0.16020249,1.0
46,DAR-DIA-03336633-10,0.15693514,1.0
47,DAR-DIA-03336633-11,0.15050592,1.0
48,DAR-DIA-03336633-12,0.17000376,2.0
49,DAR-DIA-03336633-13,0.16842598,2.0
50,DAR-DIA-03336633-14,0.16807516,2.0
51,DAR-DIA-03336633-15,0.13724054,1.0
52,DAR-DIA-842b4336-1,0.0,0.0
53,DAR-DIA-842b4336-2,0.0,0.0
54,DAR-DIA-842b4336-3,0.0,0.0
55,DAR-DIA-842b4336-4,0.0,0.0
56,DAR-DIA-842b4336-5,0.08301678,1.0
57,DAR-DIA-842b4336-6,0.08457525,1.0
58,DAR-DIA-842b4336-7,0.0,0.0
59,DAR-DIA-842b4336-8,0.1695759,2.0
60,DAR-DIA-842b4336-9,0.091174394,1.0
61,DAR-DIA-842b4336-10,0.0,0.0
62,DAR-DIA-842b4336-11,0.0,0.0
63,DAR-DIA-842b4336-12,0.0,0.0
64,DAR-DIA-842b4336-13,0.0,0.0
65,DAR-DIA-842b4336-14,0.088183954,1.0
66,DAR-DIA-842b4336-15,0.17247683,2.0
67,DAR-DIA-842b4336-16,0.0,0.0
68,DAR-DIA-842b4336-17,0.114343844,1.0
69,DAR-DIA-842b4336-18,0.11409848,1.0
70,DAR-DIA-842b4336-19,0.11398013,1.0
71,DAR-DIA-842b4336-20,0.11457563,1.0
72,DAR-DIA-842b4336-21,0.11410998,1.0
73,DAR-DIA-842b4336-22,0.18304835,2.0
74,DAR-DIA-842b4336-23,0.11383629,1.0
75,DAR-DIA-842b4336-24,0.11406089,1.0
76,DAR-DIA-fc970077-1,0.081021324,1.0
77,DAR-DIA-fc970077-2,0.24777685,1.0
78,DAR-DIA-fc970077-3,0.08054756,1.0
79,DAR-DIA-fc970077-4,0.23071094,1.0
80,DAR-DIA-fc970077-5,0.081613496,1.0
81,DAR-DIA-fc970077-6,0.08358273,1.0
82,DAR-DIA-fc970077-7,0.15204826,1.0
83,DAR-DIA-fc970077-8,0.22259468,1.0
84,DAR-DIA-fc970077-9,0.076874204,0.0
85,DAR-DIA-fc970077-10,0.082112335,0.0
86,DAR-DIA-fc970077-11,0.083773464,1.0
87,DAR-DIA-fc970077-12,0.24309464,2.0
88,DAR-DIA-fc970077-14,0.07460775,0.0
89,DAR-DIA-43a5904b-1,0.76736754,
90,DAR-DIA-43a5904b-2,0.46973652,3.0
91,DAR-DIA-43a5904b-3,0.5048955,4.0
92,DAR-DIA-43a5904b-4,0.49150854,3.0
93,DAR-DIA-43a5904b-5,0.4547841,3.0
94,DAR-DIA-43a5904b-6,0.4547841,3.0
95,DAR-DIA-43a5904b-7,0.5948233,4.0
96,DAR-DIA-43a5904b-8,0.7747941,
97,DAR-DIA-43a5904b-9,0.7691855,
98,DAR-DIA-43a5904b-10,0.5727156,5.0
99,DAR-DIA-43a5904b-11,0.6358786,4.0
100,DAR-DIA-43a5904b-12,0.739019,
101,DAR-DIA-43a5904b-13,0.7389813,
102,DAR-DIA-43a5904b-14,0.7181608,
103,DAR-DIA-43a5904b-15,0.73754776,
104,DAR-DIA-43a5904b-16,0.7376126,4.0
105,DAR-DIA-43a5904b-17,0.73644215,
106,WAR-XCH-eb7b662f-2,0.08234595,1.0
107,WAR-XCH-eb7b662f-3,0.0,0.0
108,WAR-XCH-eb7b662f-4,0.0,0.0
109,WAR-XCH-eb7b662f-5,0.08282111,1.0
110,WAR-XCH-eb7b662f-6,0.0,0.0
111,WAR-XCH-6eb0722e-1,0.16077362,2.0
112,WAR-XCH-6eb0722e-2,0.1626839,2.0
113,WAR-XCH-6eb0722e-3,0.169313,2.0
114,WAR-XCH-6eb0722e-4,0.14040816,1.0
115,WAR-XCH-6eb0722e-5,0.13916638,1.0
116,WAR-XCH-6eb0722e-6,0.13529061,1.0
117,ANT-DIA-045cfdc4-1,0.28882864,1.0
118,ANT-DIA-045cfdc4-2,0.2884135,1.0
119,ANT-DIA-045cfdc4-3,0.28531307,1.0
120,ANT-DIA-045cfdc4-4,0.281643,1.0
121,ANT-DIA-045cfdc4-5,0.28392315,1.0
122,TRY-UNI-714a760b-1,0.092657715,1.0
123,TRY-UNI-714a760b-2,0.09795787,1.0
124,TRY-UNI-714a760b-3,0.0,0.0
125,ALE-HEI-f28a35b5-1,0.0,0.0
126,TRY-UNI-714a760b-5,0.05296112,0.0
127,TRY-UNI-714a760b-6,0.0,0.0
128,TRY-UNI-714a760b-7,0.092306875,1.0
