,Id,SMILES,IC50,Structure ID,pdb_entry,prior,category,initial_screen,is_covalent,purchasable,inspired_by
0,ANT-DIA-3c79be55-1,N#Cc1ccccc1NC(=O)Cc1c[nH]c2ncccc12,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-7,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,MED-COV-4280ac29-31,AAR-POS-d2a4d1df-21"
1,ANT-DIA-3c79be55-2,N#Cc1ccccc1NC(=O)Cc1cccnc1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-7,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,MED-COV-4280ac29-31,AAR-POS-d2a4d1df-21"
2,ANT-DIA-3c79be55-3,CCNc1ccc(C#N)c(NC(=O)Cc2c[nH]c3ncccc23)c1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-7,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,MED-COV-4280ac29-31,AAR-POS-d2a4d1df-21"
3,ANT-DIA-3c79be55-4,CS(=O)(=O)Cc1ccc(C(=O)Nc2cccnc2)o1,,,,False,Core,False,False,True,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-7,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,MED-COV-4280ac29-31,AAR-POS-d2a4d1df-21"
4,ANT-DIA-3c79be55-5,O=C(Nc1cccnc1)c1ccc(N2CCC(O)CC2)o1,,,,False,Core,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-7,AAR-POS-d2a4d1df-11,ALE-HEI-f28a35b5-9,MED-COV-4280ac29-31,AAR-POS-d2a4d1df-21"
5,ANT-DIA-b7f58f21-8,CCNc1ccc(C#N)cc1CCNS(C)(=O)=O,,,,False,Community,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-21"
6,ROB-UNI-b2e39629-2,CS(=O)(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12,,,,False,Community,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-21"
7,ROB-UNI-b2e39629-3,CCn1cc(CCNS(C)(=O)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21,,,,False,Community,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-21"
8,ROB-UNI-b2e39629-4,CC(=O)NCCc1c[nH]c2c(CCNS(C)(=O)=O)cc(Cl)cc12,,,,False,Community,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-21"
9,ROB-UNI-b2e39629-5,CCn1cc(CCNC(C)=O)c2cc(C#N)cc(CCNS(C)(=O)=O)c21,,,,False,Community,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-21"
10,ROB-UNI-b2e39629-6,CC(=O)NCCc1c[nH]c2c(C(C)NC(C)=O)cc(Cl)cc12,,,,False,Community,False,False,False,"AAR-POS-d2a4d1df-1,AAR-POS-d2a4d1df-2,AAR-POS-d2a4d1df-5,AAR-POS-d2a4d1df-21"
